name,pos,tags
marie-christine barrault,PN,famous
chevy chase,PN,famous
frederic forrest,PN,famous
goldie hawn,PN,famous
anjelica huston,PN,famous
harvey keitel,PN,famous
al pacino,PN,famous
dan aykroyd,PN,famous
tom berenger,PN,famous
linda blair,PN,famous
gary busey,PN,famous
jill clayburgh,PN,famous
diane keaton,PN,famous
sondra locke,PN,famous
ali macgraw,PN,famous
talia shire,PN,famous
jeannie berlin,PN,famous
albert brooks,PN,famous
stockard channing,PN,famous
bruce davison,PN,famous
melanie griffith,PN,famous
bob hoskins,PN,famous
jeremy irons,PN,famous
michael lerner,PN,famous
nick nolte,PN,famous
chris sarandon,PN,famous
tom selleck,PN,famous
carrie snodgress,PN,famous
john travolta,PN,famous
isabelle adjani,PN,famous
anne archer,PN,famous
roberto benigni,PN,famous
ronee blakley,PN,famous
daniel day-lewis,PN,famous
robert downey jr.,PN,famous
tommy lee jones,PN,famous
stephen rea,PN,famous
susan sarandon,PN,famous
arnold schwarzenegger,PN,famous
sissy spacek,PN,famous
sylvester stallone,PN,famous
james woods,PN,famous
burt young,PN,famous
f. murray abraham,PN,famous
kim basinger,PN,famous
kathy bates,PN,famous
carol kane,PN,famous
jennifer jason leigh,PN,famous
valerie perrine,PN,famous
randy quaid,PN,famous
geoffrey rush,PN,famous
meryl streep,PN,famous
danny aiello,PN,famous
margaret avery,PN,famous
jim broadbent,PN,famous
candy clark,PN,famous
lindsay crouse,PN,famous
laurence fishburne,PN,famous
jackie earle haley,PN,famous
samuel l. jackson,PN,famous
kevin kline,PN,famous
john lithgow,PN,famous
kathleen quinlan,PN,famous
julie walters,PN,famous
laura dern,PN,famous
michael j. fox,PN,famous
helen hunt,PN,famous
christine lahti,PN,famous
bill murray,PN,famous
kate nelligan,PN,famous
tatum o'neal,PN,famous
charlie sheen,PN,famous
j. k. simmons,PN,famous
gary sinise,PN,famous
glenn close,PN,famous
kevin costner,PN,famous
james cromwell,PN,famous
richard jenkins,PN,famous
michael o'keefe,PN,famous
edward james olmos,PN,famous
sean penn,PN,famous
christopher reeve,PN,famous
denzel washington,PN,famous
tim allen,PN,famous
billy crystal,PN,famous
brad dourif,PN,famous
tom hulce,PN,famous
amy irving,PN,famous
michael keaton,PN,famous
nathan lane,PN,famous
mike myers,PN,famous
pete postlethwaite,PN,famous
dennis quaid,PN,famous
dianne wiest,PN,famous
shohreh aghdashloo,PN,famous
jackie chan,PN,famous
ed harris,PN,famous
mariel hemingway,PN,famous
linda hunt,PN,famous
jessica lange,PN,famous
john malkovich,PN,famous
liam neeson,PN,famous
lena olin,PN,famous
mercedes ruehl,PN,famous
diana scarwid,PN,famous
imelda staunton,PN,famous
sigourney weaver,PN,famous
tom wilkinson,PN,famous
robin williams,PN,famous
debra winger,PN,famous
mare winningham,PN,famous
joan allen,PN,famous
demián bichir,PN,famous
pierce brosnan,PN,famous
jamie lee curtis,PN,famous
judy davis,PN,famous
steve guttenberg,PN,famous
pee-wee herman,PN,famous
william hurt,PN,famous
amy madigan,PN,famous
mary mcdonnell,PN,famous
eric roberts,PN,famous
massimo troisi,PN,famous
kathleen turner,PN,famous
christoph waltz,PN,famous
kevin bacon,PN,famous
drew barrymore,PN,famous
george clooney,PN,famous
andy garcía,PN,famous
tom hanks,PN,famous
felicity huffman,PN,famous
william h. macy,PN,famous
michelle pfeiffer,PN,famous
mary steenburgen,PN,famous
alfre woodard,PN,famous
kirstie alley,PN,famous
lorraine bracco,PN,famous
joan cusack,PN,famous
matt dillon,PN,famous
graham greene,PN,famous
marcia gay harden,PN,famous
justin henry,PN,famous
diane lane,PN,famous
elizabeth mcgovern,PN,famous
gary oldman,PN,famous
david paymer,PN,famous
miranda richardson,PN,famous
tim robbins,PN,famous
mickey rourke,PN,famous
david strathairn,PN,famous
patrick swayze,PN,famous
ken watanabe,PN,famous
alec baldwin,PN,famous
annette bening,PN,famous
brenda blethyn,PN,famous
nicolas cage,PN,famous
bryan cranston,PN,famous
tom cruise,PN,famous
willem dafoe,PN,famous
mary elizabeth mastrantonio,PN,famous
cathy moriarty,PN,famous
eddie murphy,PN,famous
mark rylance,PN,famous
sharon stone,PN,famous
meg tilly,PN,famous
bruce willis,PN,famous
kenneth branagh,PN,famous
matthew broderick,PN,famous
whoopi goldberg,PN,famous
holly hunter,PN,famous
catherine zeta-jones,PN,famous
christian bale,PN,famous
antonio banderas,PN,famous
jennifer connelly,PN,famous
geena davis,PN,famous
joaquin phoenix,PN,famous
river phoenix,PN,famous
tim roth,PN,famous
elisabeth shue,PN,famous
emma thompson,PN,famous
stanley tucci,PN,famous
forest whitaker,PN,famous
juliette binoche,PN,famous
helena bonham carter,PN,famous
john cusack,PN,famous
eugenio derbez,PN,famous
colin firth,PN,famous
tess harper,PN,famous
nicole kidman,PN,famous
virginia madsen,PN,famous
julianne moore,PN,famous
kiefer sutherland,PN,famous
don cheadle,PN,famous
johnny depp,PN,famous
melissa leo,PN,famous
frances mcdormand,PN,famous
viggo mortensen,PN,famous
haing s. ngor,PN,famous
chazz palminteri,PN,famous
keanu reeves,PN,famous
tilda swinton,PN,famous
kristin scott thomas,PN,famous
marisa tomei,PN,famous
adriana barraza,PN,famous
angela bassett,PN,famous
josh brolin,PN,famous
patricia clarkson,PN,famous
russell crowe,PN,famous
benicio del toro,PN,famous
ralph fiennes,PN,famous
woody harrelson,PN,famous
ethan hawke,PN,famous
john hawkes,PN,famous
janet mcteer,PN,famous
winona ryder,PN,famous
will smith,PN,famous
mira sorvino,PN,famous
uma thurman,PN,famous
steve carell,PN,famous
cuba gooding jr.,PN,famous
djimon hounsou,PN,famous
catherine keener,PN,famous
marlee matlin,PN,famous
wesley snipes,PN,famous
kevin spacey,PN,famous
billy bob thornton,PN,famous
naomi watts,PN,famous
jennifer aniston,PN,famous
patricia arquette,PN,famous
sandra bullock,PN,famous
chris cooper,PN,famous
jude law,PN,famous
juliette lewis,PN,famous
brad pitt,PN,famous
julia roberts,PN,famous
amy ryan,PN,famous
david spade,PN,famous
casey affleck,PN,famous
adrien brody,PN,famous
matt damon,PN,famous
cameron diaz,PN,famous
salma hayek,PN,famous
greg kinnear,PN,famous
queen latifah,PN,famous
clive owen,PN,famous
halle berry,PN,famous
cate blanchett,PN,famous
thomas haden church,PN,famous
penélope cruz,PN,famous
leonardo dicaprio,PN,famous
jamie foxx,PN,famous
paul giamatti,PN,famous
gwyneth paltrow,PN,famous
rosie perez,PN,famous
john c. reilly,PN,famous
mark ruffalo,PN,famous
adam sandler,PN,famous
javier bardem,PN,famous
toni collette,PN,famous
vin diesel,PN,famous
minnie driver,PN,famous
jesse eisenberg,PN,famous
laura linney,PN,famous
hilary swank,PN,famous
mark wahlberg,PN,famous
jake gyllenhaal,PN,famous
philip seymour hoffman,PN,famous
marianne jean-baptiste,PN,famous
angelina jolie,PN,famous
matthew mcconaughey,PN,famous
samantha morton,PN,famous
sophie okonedo,PN,famous
michael shannon,PN,famous
emily watson,PN,famous
kate winslet,PN,famous
reese witherspoon,PN,famous
viola davis,PN,famous
rachel griffiths,PN,famous
maggie gyllenhaal,PN,famous
terrence howard,PN,famous
haley joel osment,PN,famous
natalie portman,PN,famous
paul rudd,PN,famous
rachel weisz,PN,famous
renée zellweger,PN,famous
marion cotillard,PN,famous
ryan gosling,PN,famous
keira knightley,PN,famous
heath ledger,PN,famous
anna paquin,PN,famous
michelle williams,PN,famous
orlando bloom,PN,famous
hugh jackman,PN,famous
scarlett johansson,PN,famous
jared leto,PN,famous
amy adams,PN,famous
michael clarke duncan,PN,famous
chiwetel ejiofor,PN,famous
will ferrell,PN,famous
taraji p. henson,PN,famous
jeremy renner,PN,famous
chloë sevigny,PN,famous
charlize theron,PN,famous
jean dujardin,PN,famous
vera farmiga,PN,famous
kate hudson,PN,famous
felicity jones,PN,famous
edward norton,PN,famous
octavia spencer,PN,famous
james franco,PN,famous
melissa mccarthy,PN,famous
ellen page,PN,famous
sally hawkins,PN,famous
anna kendrick,PN,famous
brie larson,PN,famous
rosamund pike,PN,famous
eddie redmayne,PN,famous
bradley cooper,PN,famous
anne hathaway,PN,famous
rinko kikuchi,PN,famous
mo'nique,PN,famous
daniel radcliffe,PN,famous
benedict cumberbatch,PN,famous
mickey mouse,PN,cartoon
bugs bunny,PN,cartoon
donald duck,PN,cartoon
felix the cat,PN,cartoon
the cowardly lion,PN,cartoon
tigger,PN,cartoon
daffy duck,PN,cartoon
minnie mouse,PN,cartoon
scooby-doo,PN,cartoon
jerry,PN,cartoon
tom,PN,cartoon
wile e. coyote,PN,cartoon
sylvester,PN,cartoon
winnie the pooh,PN,cartoon
goofy,PN,cartoon
toothless,PN,cartoon
bambi,PN,cartoon
thumper,PN,cartoon
bagheera,PN,cartoon
baloo,PN,cartoon
kermit the frog,PN,cartoon
daisy duck,PN,cartoon
pyatachok,PN,cartoon
the cheshire cat,PN,cartoon
dory,PN,cartoon
garfield,PN,cartoon
tweety bird,PN,cartoon
scar,PN,cartoon
mufasa,PN,cartoon
shere khan,PN,cartoon
donkey,PN,cartoon
puss in boots,PN,cartoon
donkey kong,PN,cartoon
snoopy,PN,cartoon
simba,PN,cartoon
droopy,PN,cartoon
tigress,PN,cartoon
jiminy cricket,PN,cartoon
mojo jojo,PN,cartoon
taz,PN,cartoon
nala,PN,cartoon
aslan,PN,cartoon
pete,PN,cartoon
balto,PN,cartoon
spongebob squarepants,PN,cartoon
jessica rabbit,PN,cartoon
wilbur,PN,cartoon
eeyore,PN,cartoon
julien,PN,cartoon
alex,PN,cartoon
melman,PN,cartoon
huckleberry hound,PN,cartoon
squidward tentacles,PN,cartoon
gloria,PN,cartoon
mr. krabs,PN,cartoon
marty,PN,cartoon
flik,PN,cartoon
chewbacca,PN,cartoon
roger rabbit,PN,cartoon
timon,PN,cartoon
patrick star,PN,cartoon
pumbaa,PN,cartoon
sonic the hedgehog,PN,cartoon
babe the gallant pig,PN,cartoon
road runner,PN,cartoon
iago,PN,cartoon
sebastian,PN,cartoon
zazu,PN,cartoon
rabbit,PN,cartoon
nemo,PN,cartoon
courage,PN,cartoon
abu the monkey,PN,cartoon
kerchak,PN,cartoon
shenzi,PN,cartoon
banzai,PN,cartoon
rudolph,PN,cartoon
mighty mouse,PN,cartoon
kaa,PN,cartoon
brian griffin,PN,cartoon
pongo,PN,cartoon
remy,PN,cartoon
littlefoot,PN,cartoon
roo,PN,cartoon
rhino,PN,cartoon
rex,PN,cartoon
ed,PN,cartoon
crash bandicoot,PN,cartoon
spyro,PN,cartoon
woody woodpecker,PN,cartoon
po,PN,cartoon
spike,PN,cartoon
old yeller,PN,cartoon
elsa,PN,cartoon
faline,PN,cartoon
gary,PN,cartoon
gopher,PN,cartoon
draco,PN,cartoon
saphira,PN,cartoon
king louie,PN,cartoon
miss piggy,PN,cartoon
grape ape,PN,cartoon
scooby-dum,PN,cartoon
george jetson,PN,cartoon
bambi,PN,cartoon
quick draw mcgraw,PN,cartoon
velma dinkley,PN,cartoon
henery hawk,PN,cartoon
blacque jacque shellacque,PN,cartoon
boo-boo bear,PN,cartoon
atom ant,PN,cartoon
captain caveman,PN,cartoon
underdog,PN,cartoon
lucy van pelt,PN,cartoon
darkwing duck,PN,cartoon
magica de spell,PN,cartoon
top cat,PN,cartoon
dick dastardly (wacky races),PN,cartoon
space ghost,PN,cartoon
felix the cat,PN,cartoon
magilla gorilla,PN,cartoon
fred jones,PN,cartoon
wally gator,PN,cartoon
jiminy cricket (disney),PN,cartoon
eeyore,PN,cartoon
scrooge mcduck,PN,cartoon
spike bulldog,PN,cartoon
mighty mouse,PN,cartoon
"huey, dewey and louie",PN,cartoon
muttley,PN,cartoon
hugo the abominable snowman,PN,cartoon
chip 'n' dale,PN,cartoon
charlie brown,PN,cartoon
homer simpson,PN,cartoon
snagglepuss,PN,cartoon
penelope pitstop,PN,cartoon
the powerpuff girls,PN,cartoon
betty boop,PN,cartoon
fred flintstone,PN,cartoon
mr. magoo,PN,cartoon
barney rubble,PN,cartoon
dopey,PN,cartoon
boris badenov & natasha fatale,PN,cartoon
penelope pussycat,PN,cartoon
bart simpson,PN,cartoon
superman (comics),PN,cartoon
linus van pelt,PN,cartoon
cruella de vil,PN,cartoon
pluto,PN,cartoon
granny,PN,cartoon
the jungle book vultures,PN,cartoon
jetsam,PN,"cartoon,disney"
wikidata item,PN,"cartoon,disney"
jack jack,PN,"cartoon,disney"
kovu,PN,"cartoon,disney"
colonel hathi,PN,"cartoon,disney"
